Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Ryan Weber","Red Sox (AAA)",28,1,1,5.04,5,5,1,0,0,0,,25,104,26,14,14,4,5,0,2,1,0,18,"10160"
"Erasmo Ramirez","Red Sox (AAA)",29,1,2,4.909090909090909,5,5,0,0,0,0,,22,92,19,13,12,4,8,0,1,0,0,13,"10314"
"Donn Roach","White Sox (AAA)",29,0,2,10.25316579470644,6,6,0,0,0,0,,26.1,132,45,34,30,7,9,0,0,1,0,18,"10620"
"Scott Copeland","Nationals (AAA)",31,2,1,5.451922277021808,6,6,0,0,0,0,,34.2,153,34,24,21,7,13,0,4,4,0,28,"10706"
"Drew Hutchison","Yankees (AAA)",28,2,1,4.909090301081385,5,3,0,0,0,0,,25.2,114,24,15,14,2,15,1,3,1,0,28,"10732"
"Asher Wojciechowski","Indians (AAA)",30,3,1,1.96875,6,6,0,0,0,0,,32,133,23,8,7,2,15,0,2,0,0,32,"10836"
"Jake Buchanan","Athletics (AAA)",29,2,1,6.387096774193548,6,6,0,0,0,0,,31,142,38,24,22,8,14,0,3,0,0,21,"10962"
"Ben Rowen","- - -",30,4,0,0.771428676527388,10,1,0,0,0,0,,23.1,88,14,3,2,0,4,0,1,0,0,21,"10983"
"Zach Lee","Mets (AAA)",27,1,0,5.082353511401178,6,6,0,0,0,0,,28.1,126,38,18,16,1,11,0,0,0,0,22,"11468"
"Williams Perez","Cardinals (AA)",28,3,1,4.864864864864865,7,7,0,0,0,0,,37,163,39,21,20,6,17,1,0,0,0,40,"11592"
"Justin Nicolino","- - -",27,1,1,5.704226884499908,5,4,0,0,0,0,,23.2,107,30,16,15,5,11,0,1,1,0,15,"11754"
"Colin Rea","Cubs (AAA)",28,3,0,2.9700004531861044,6,6,0,0,0,0,,33.1,133,30,12,11,4,11,0,1,0,0,23,"12317"
"Ryan Carpenter","Tigers (AAA)",28,1,4,4.090909090909091,6,6,0,0,0,0,,33,137,28,15,15,4,11,0,1,0,0,27,"12699"
"Adrian Houser","Brewers (AAA)",26,2,0,1.2656251885928496,4,4,0,0,0,0,,21.1,84,13,4,3,2,4,0,3,1,0,23,"12718"
"Sean Gilmartin","Orioles (AAA)",29,0,1,2.6129028238938203,9,2,0,0,0,0,,20.2,85,16,8,6,1,7,0,1,1,0,20,"12781"
"Burch Smith","Brewers (AAA)",29,3,1,1.3670887726275254,5,5,0,0,0,0,,26.1,103,14,4,4,1,11,0,3,0,0,27,"12784"
"Logan Verrett","Athletics (AA)",29,0,0,4.280488302706312,6,3,0,0,0,0,,27.1,108,26,13,13,4,4,0,1,0,0,25,"12905"
"Brady Rodgers","Astros (AAA)",28,3,0,2.75,6,6,0,0,0,0,,36,145,32,11,11,4,11,0,0,1,0,25,"13393"
"Lucas Sims","Reds (AAA)",25,2,0,4.453608948007005,7,7,0,0,0,0,,32.1,145,32,18,16,4,14,0,2,0,0,49,"13470"
"Ryan Merritt","Rays (AAA)",27,2,2,6.954545454545454,6,4,0,0,0,0,,22,101,36,17,17,6,4,0,0,1,0,20,"13688"
"Jake Faria","Rays (AAA)",25,2,1,7.434782608695652,7,6,0,0,0,0,,23,113,31,20,19,3,15,0,0,1,0,31,"13699"
"Dietrich Enns","Padres (AAA)",28,4,1,4.542055427044246,7,5,0,0,0,0,,35.2,149,36,19,18,5,9,0,0,0,0,33,"13932"
"Ryan Garton","Mariners (AAA)",29,2,0,3.323076435518054,10,1,0,0,0,1,,21.2,87,19,8,8,4,7,0,0,1,0,23,"14016"
"Ty Blach","Giants (AAA)",28,1,1,5.7857150739554095,5,5,0,0,0,0,,23.1,106,33,15,15,1,5,0,0,1,0,17,"14361"
"Jackson Stephens","Reds (AAA)",25,3,0,3.483870431858427,13,0,0,0,0,1,,20.2,86,15,9,8,1,10,0,2,0,0,21,"14420"
"Chi Chi Gonzalez","Rockies (AAA)",27,2,2,8.4,6,6,0,0,0,0,,30,145,44,29,28,6,13,0,2,2,0,30,"14663"
"Duane Underwood Jr.","Cubs (AAA)",24,2,3,6.035294794788898,6,6,0,0,0,0,,28.1,128,27,20,19,3,16,1,0,2,0,30,"14677"
"Andres Machado","Royals (AAA)",26,0,0,3.5409841601550243,9,0,0,0,1,0,,20.1,86,15,8,8,4,10,0,1,1,0,18,"14681"
"Paul Blackburn","Athletics (AAA)",25,4,1,4.5,6,6,0,0,0,0,,30,126,29,18,15,7,8,0,1,1,0,24,"14739"
"Rookie Davis","Pirates (AAA)",26,0,3,6.3,6,6,0,0,0,0,,30,135,35,21,21,6,12,0,0,1,0,23,"14962"
"Luis Santos","Rays (AAA)",28,0,0,3,8,1,0,0,0,0,,21,88,18,9,7,2,6,0,2,2,0,25,"15006"
"Austin Voth","Nationals (AAA)",27,3,2,3.6404490481120497,6,6,0,0,0,0,,29.2,128,34,13,12,2,7,0,0,4,0,37,"15047"
"Kyle McGowin","Nationals (AAA)",27,3,2,5,7,7,0,0,0,0,,36,160,41,22,20,6,11,1,4,0,0,39,"15071"
"Rob Zastryzny","Dodgers (AAA)",27,0,2,5.547945930264869,5,5,0,0,0,0,,24.1,110,30,18,15,5,8,0,0,1,0,29,"15094"
"Braden Shipley","Diamondbacks (AAA)",27,1,0,8.338234124711805,11,1,0,0,0,0,,22.2,106,32,21,21,8,10,0,1,3,0,23,"15158"
"Aaron Slegers","Rays (AAA)",26,1,1,5.651162164026952,6,6,1,0,0,0,,28.2,126,33,19,18,6,8,0,2,1,0,16,"15231"
"Kohl Stewart","Twins (AAA)",24,2,2,4.5,5,5,0,0,0,0,,20,94,23,17,10,2,9,0,3,3,0,23,"15502"
"Zack Littell","Twins (AAA)",23,2,2,3.8181818181818183,6,5,0,0,0,0,,33,142,33,15,14,4,14,0,0,2,0,37,"15823"
"Keury Mella","Reds (AAA)",25,1,3,5.766991145604868,7,7,0,0,0,0,,34.1,152,39,23,22,7,13,0,2,1,0,31,"15964"
"Odrisamer Despaigne","Reds (AAA)",32,2,2,4.211009763806511,7,7,0,0,0,0,,36.1,153,33,20,17,5,13,0,2,1,0,35,"16017"
"Stefan Crichton","Diamondbacks (AAA)",27,0,1,3.483870431858427,12,0,0,0,0,0,,20.2,81,13,8,8,1,8,0,1,3,0,17,"16058"
"Daniel Ponce de Leon","Cardinals (AAA)",27,2,1,3.253011674420038,5,5,0,0,0,0,,27.2,122,27,12,10,3,11,0,3,3,0,24,"16110"
"Alex McRae","Pirates (AAA)",26,2,2,6.6,6,6,0,0,0,0,,30,135,37,24,22,4,10,0,1,4,0,27,"16317"
"Ricardo Pinto","- - -",25,3,1,4,6,3,0,0,0,0,,27,113,22,12,12,2,12,0,1,5,0,21,"16318"
"Chih-Wei Hu","Indians (AAA)",25,1,1,4.129412228013457,6,6,0,0,0,0,,28.1,118,26,13,13,3,10,0,1,0,0,20,"16419"
"Austin Gomber","Cardinals (AAA)",25,4,0,2.8173916781737853,7,7,1,1,0,0,,38.1,157,35,14,12,4,14,0,0,1,0,44,"16561"
"Brock Stewart","Dodgers (AAA)",27,0,3,6.08450622498066,6,6,0,0,0,0,,23.2,114,31,17,16,2,15,0,0,3,0,19,"16727"
"Elieser Hernandez","Marlins (AAA)",24,1,1,1.1612903225806452,6,6,0,0,0,0,,31,136,24,6,4,0,11,0,7,1,0,43,"16933"
"Luis Ortiz","Orioles (AAA)",23,1,2,4.8688532202131585,5,5,0,0,0,0,,20.1,101,25,15,11,3,13,0,1,2,0,10,"16942"
"Daniel Mengden","Athletics (AAA)",26,3,2,2.769230769230769,7,6,0,0,0,0,,39,162,29,19,12,4,14,2,0,3,0,44,"16980"
"Tyler Beede","Giants (AAA)",26,1,1,1.9852938392170962,5,5,0,0,0,0,,22.2,91,14,6,5,1,10,0,3,3,0,34,"16981"
"Ariel Jurado","Texas (AAA)",23,3,0,3.5735289105907735,4,4,0,0,0,0,,22.2,96,29,9,9,1,2,0,1,1,0,22,"17030"
"Sean Reid-Foley","Blue Jays (AAA)",23,0,1,8.64,6,5,0,0,0,0,,25,128,27,26,24,5,25,0,1,4,0,33,"17034"
"Ranger Suarez","Phillies (AAA)",23,2,1,5.641791847825669,4,4,0,0,0,0,,22.1,95,25,16,14,5,4,0,2,0,0,21,"17277"
"Justus Sheffield","Mariners (AAA)",23,1,1,3.7594941247256948,6,5,0,0,0,0,,26.1,119,19,16,11,5,23,0,0,2,0,20,"17285"
"Erick Fedde","Nationals (AA)",26,2,0,2.554053724900616,5,4,0,0,0,0,,24.2,99,18,9,7,2,5,0,1,1,0,27,"17425"
"Jeff Hoffman","Rockies (AAA)",26,2,2,7.397261240353158,5,4,0,0,0,0,,24.1,116,25,20,20,6,11,0,4,1,1,30,"17432"
"Taylor Clarke","Diamondbacks (AAA)",26,3,1,6.12,5,5,0,0,0,0,,25,107,27,17,17,5,6,0,1,2,1,17,"17611"
"Nestor Cortes Jr.","Yankees (AAA)",24,1,2,4.544553768867452,6,5,0,0,0,0,,33.2,138,28,17,17,3,11,0,1,0,0,34,"17874"
"Tanner Anderson","Athletics (AAA)",26,3,2,5.457447362194403,6,5,0,0,0,0,,31.1,148,40,22,19,9,14,0,3,0,0,16,"18029"
"Matt Hall","Tigers (AAA)",25,2,0,6.412499235570522,6,4,0,0,0,0,,26.2,122,33,24,19,6,9,0,0,2,0,34,"18076"
"Ryan Meisinger","Cardinals (AAA)",25,0,3,4.354838039823034,12,1,0,0,0,0,,20.2,92,19,11,10,3,8,0,1,3,0,23,"18105"
"Chance Adams","Yankees (AAA)",24,2,1,4.8,6,6,0,0,0,0,,30,134,26,17,16,4,15,0,1,0,0,37,"18135"
"Andrew Suarez","Giants (AAA)",26,2,2,5.8153837621565945,5,5,0,0,0,0,,21.2,99,27,14,14,2,9,0,2,0,0,15,"18300"
"Taylor Hearn","Texas (AAA)",24,1,3,4.05,4,4,0,0,0,0,,20,84,14,9,9,3,10,0,3,1,0,26,"18325"
"Josh Rogers","Orioles (AAA)",24,2,2,6.480000988769683,6,6,0,0,0,0,,33.1,146,45,24,24,7,6,0,1,0,0,22,"18510"
"Kolby Allard","Braves (AAA)",21,2,2,4.2,6,6,0,0,0,0,,30,129,32,20,14,4,11,0,0,0,0,22,"18694"
"Ben Meyer","Marlins (AAA)",26,1,2,6.850747243788312,5,5,0,0,0,0,,22.1,107,22,18,17,4,19,0,2,1,0,27,"18854"
"Cal Quantrill","Padres (AAA)",24,3,1,4.68,5,5,0,0,0,0,,25,109,26,15,13,2,8,0,2,1,1,24,"19312"
"Bryse Wilson","Braves (AAA)",21,0,3,5.684211239590298,5,5,0,0,0,0,,25.1,109,29,18,16,4,5,0,0,0,1,25,"19990"
"Hector Noesi","Marlins (AAA)",32,3,1,2.3823529411764706,6,6,0,0,0,0,,34,133,26,9,9,6,8,0,1,0,0,40,"3292"
"J.D. Martin","Dodgers (AA)",36,1,2,6.148513922585376,6,6,0,0,0,0,,33.2,158,36,27,23,8,19,0,1,1,0,31,"3685"
"Hector Santiago","Mets (AAA)",31,2,1,3.75,7,6,0,0,0,0,,36,154,28,15,15,5,19,0,0,0,0,36,"4026"
"Justin De Fratus","- - -",31,1,2,8.506850426406132,6,5,0,0,0,0,,24.1,111,30,24,23,6,9,0,2,3,0,20,"4955"
"Tim Dillard","Texas (AAA)",35,1,1,4.973684834641511,9,2,0,0,0,0,,25.1,113,25,16,14,1,7,0,7,0,0,13,"5518"
"Henderson Alvarez III","Nationals (AAA)",29,0,2,9.138460197674648,5,4,0,0,0,0,,21.2,107,38,23,22,10,6,0,0,3,0,15,"5669"
"Anthony Vasquez","Diamondbacks (AAA)",32,1,2,4.808219806229553,5,4,0,0,0,0,,24.1,105,30,14,13,9,5,0,2,0,0,20,"6577"
"Tommy Milone","Mariners (AAA)",32,3,2,3.6610174225651915,7,6,1,1,0,0,,39.1,161,37,19,16,5,7,0,1,0,0,36,"7608"
"Carlos Torres","Padres (AAA)",36,1,1,2.4545454545454546,12,0,0,0,1,2,,22,91,18,6,6,1,8,0,1,1,0,21,"7624"
"Paolo Espino","Nationals (AAA)",32,2,1,5.90625,6,6,0,0,0,0,,32,137,34,22,21,7,8,0,1,0,0,29,"8246"
"Casey Coleman","Mets (AAA)",31,0,2,3.130434782608696,6,5,0,0,0,0,,23,95,19,10,8,5,11,0,0,0,0,24,"8270"
"Rob Wooten","Reds (AA)",33,1,1,5.323942946858077,5,5,0,0,0,0,,23.2,100,26,15,14,5,3,0,0,0,0,21,"8532"
"Daniel Corcino","Dodgers (AAA)",28,2,1,4.344827586206897,6,6,0,0,0,0,,29,124,26,16,14,6,11,0,3,1,0,28,"9266"
"David Hale","Yankees (AAA)",31,3,0,2.3823526070605157,4,4,1,0,0,0,,22.2,93,19,8,6,2,4,0,2,1,0,20,"9756"
"Ronald Bolanos","Padres (A+)",22,3,1,3.5100005355835777,6,6,0,0,0,0,,33.1,136,27,17,13,2,13,0,1,7,0,32,"sa3002595"
"Joan Adon","Nationals (A)",20,2,1,3.3370782941027124,6,6,0,0,0,0,,29.2,130,28,12,11,2,13,0,2,5,0,29,"sa3002614"
"Ramon Rosso","Phillies (AA)",23,2,0,1.025316579470644,5,5,0,0,0,0,,26.1,105,21,3,3,0,6,2,2,1,0,32,"sa3002672"
"Blake Battenfield","White Sox (A+)",24,1,2,2.8285714285714287,6,6,0,0,0,0,,35,140,31,14,11,3,9,0,1,0,0,25,"sa3002734"
"Gerardo Carrillo","Dodgers (A+)",20,1,2,4.304347826086956,6,5,0,0,0,0,,23,103,16,12,11,0,17,0,3,3,0,21,"sa3002790"
"Luis Patino","Padres (A+)",19,2,3,3.75,6,6,0,0,0,0,,24,106,16,12,10,2,16,0,1,2,0,29,"sa3002792"
"Jose Martinez","Dodgers (A)",20,1,1,4.95,6,0,0,0,2,0,,20,86,19,11,11,3,8,0,1,0,1,10,"sa3002796"
"Roansy Contreras","Yankees (A)",19,3,1,3.6,6,6,0,0,0,0,,30,126,29,15,12,1,6,0,1,4,0,23,"sa3003020"
"Alfredo Garcia","Rockies (A)",19,0,3,9.72,6,6,0,0,0,0,,25,127,38,28,27,5,14,0,4,5,1,25,"sa3003045"
"Victor Santos","Phillies (A)",18,2,2,3.4615384615384617,6,3,0,0,0,0,,26,108,26,13,10,2,4,0,3,0,0,24,"sa3003083"
"Jose Montilla","Braves (A)",21,1,0,1.3278690600581342,7,0,0,0,1,0,,20.1,71,13,3,3,1,3,0,1,1,0,15,"sa3003102"
"Robinson Pina","Angels (A)",20,2,2,2.0106385018610955,7,4,0,0,1,2,,31.1,129,23,12,7,2,14,0,1,2,1,39,"sa3003123"
"Eduardo Salazar","Reds (A)",21,2,0,3.983607180174402,10,0,0,0,0,0,,20.1,83,17,10,9,2,6,0,3,2,1,17,"sa3003131"
"Osvaldo Bido","Pirates (A)",23,5,0,1.261682063067846,6,6,0,0,0,0,,35.2,136,20,5,5,1,9,0,3,1,1,27,"sa3003138"
"Jose Butto","Mets (A)",21,0,4,4.879517511630057,7,6,0,0,0,0,,27.2,125,34,21,15,2,5,0,1,0,0,27,"sa3003166"
"J.C. Cloney","- - -",24,1,1,1.7088609657844067,7,3,0,0,0,0,,26.1,99,17,7,5,3,4,0,1,0,0,19,"sa3003927"
"Bryan Sammons","Twins (A+)",24,4,0,0.6585366619548172,6,6,0,0,0,0,,27.1,110,21,6,2,1,12,0,0,0,0,35,"sa3003932"
"John Parke","White Sox (A+)",24,1,2,4.408162578946705,6,6,0,0,0,0,,32.2,150,36,22,16,4,12,0,4,3,2,19,"sa3003988"
"Adam Reuss","Athletics (A)",24,0,3,6.202701903330068,6,4,0,0,0,0,,24.2,119,28,24,17,3,13,0,4,8,0,15,"sa3003993"
"Jason Alexander","Angels (AA)",26,1,0,1.542857353054776,5,2,0,0,0,0,,23.1,89,12,6,4,0,8,0,0,0,0,24,"sa3003997"
"Ramon Perez","Padres (A)",19,0,1,4.183098029674204,5,5,0,0,0,0,,23.2,101,18,14,11,0,11,0,3,3,0,20,"sa3004005"
"Cole Bartlett","Diamondbacks (A+)",24,1,2,5.318181818181818,10,0,0,0,2,0,,22,97,24,18,13,2,7,0,0,1,0,20,"sa3004009"
"Austin Hutchison","Mariners (A+)",24,1,4,4.037382601817107,7,6,0,0,0,0,,35.2,146,33,16,16,3,12,0,2,0,0,39,"sa3004018"
"Matt Peacock","Diamondbacks (AA)",25,2,2,2.825581082013476,6,5,0,0,0,0,,28.2,119,31,10,9,2,9,0,0,0,0,15,"sa3004019"
"Graham Spraker","Blue Jays (A+)",24,4,0,1.989473484493709,7,3,0,0,1,0,,31.2,125,23,7,7,2,8,0,4,0,0,26,"sa3004024"
"Collin Snider","Royals (A+)",23,2,1,2.014925659937739,9,0,0,0,0,0,,22.1,89,21,8,5,2,3,0,1,0,0,13,"sa3004093"
"Connor Johnstone","- - -",24,2,0,2.6557368745219514,9,1,0,0,1,0,,20.1,86,19,6,6,1,7,2,1,1,0,11,"sa3004190"
"Dylan File","Brewers (A+)",23,2,3,3.4752469997221693,6,6,1,0,0,0,,33.2,134,33,13,13,2,3,0,1,1,0,37,"sa3004197"
"Dedniel Nunez","- - -",23,3,1,3.7594941247256948,5,4,0,0,0,0,,26.1,103,16,11,11,2,4,0,4,5,0,37,"sa3004203"
"Riley O'Brien","- - -",24,2,1,2.3478262816575324,7,7,0,0,0,0,,38.1,153,27,12,10,2,16,0,1,3,0,40,"sa3004210"
"Alex Manasa","Pirates (A)",21,3,0,3.2079203074358484,6,6,0,0,0,0,,33.2,137,34,13,12,2,7,0,0,2,0,32,"sa3004213"
"Sam Delaplane","Mariners (A+)",24,3,0,3.0983611401356463,13,0,0,0,1,1,,20.1,80,11,7,7,1,10,0,1,4,0,41,"sa3004222"
"Jeremy Beasley","Angels (AA)",23,1,2,3.6268661878879302,6,5,0,0,0,0,,22.1,97,19,14,9,3,11,0,0,0,0,27,"sa3004225"
"Caleb Boushley","Padres (A+)",25,2,0,2.531250377185699,9,0,0,0,1,0,,21.1,87,19,7,6,2,5,0,0,1,0,25,"sa3004226"
"Evan Kruczynski","Cardinals (AA)",24,1,3,7.793815659012259,7,7,0,0,0,0,,32.1,152,42,31,28,3,18,0,0,4,1,34,"sa3004341"
"Josh Fleming","Rays (AA)",23,3,2,2.3893802083270037,6,6,1,0,0,0,,37.2,147,36,12,10,2,4,0,0,0,0,31,"sa3004344"
"Charlie Neuweiler","Royals (A)",20,1,2,3.3157894736842106,7,7,0,0,0,0,,38,164,29,15,14,2,17,0,5,4,0,38,"sa3004345"
"Denny Brady","Angels (A+)",22,1,3,3.9705876784341925,6,2,0,0,0,1,,22.2,101,22,11,10,2,11,0,2,0,0,28,"sa3004347"
"Zach Draper","Indians (A)",24,1,0,0.3698630620176579,7,1,0,0,0,0,,24.1,97,19,2,1,0,10,0,1,1,0,25,"sa3004355"
"Gio Arriera","Tigers (A)",21,2,1,6.230768316596351,5,5,0,0,0,0,,21.2,103,27,20,15,1,7,0,3,4,0,18,"sa3004465"
"Tommy Romero","Rays (A+)",21,1,1,1.6875002514571327,5,4,0,0,0,0,,21.1,90,18,6,4,0,10,0,2,3,0,18,"sa3004469"
"Austin Warner","Cardinals (AA)",25,0,2,5.25,6,5,0,0,0,0,,24,109,27,17,14,2,11,0,1,0,0,23,"sa3004494"
"Kyle Johnston","Nationals (A+)",22,2,4,6.567566721173013,6,6,0,0,0,0,,24.2,114,28,21,18,2,13,0,2,2,0,22,"sa3004571"
"Jared Solomon","Reds (A)",22,0,2,4.068493682194237,6,6,0,0,0,0,,24.1,112,25,13,11,0,15,0,1,2,0,27,"sa3004589"
"Alex Fagalde","Cardinals (A+)",25,3,1,2.9700004531861044,6,6,0,0,0,0,,33.1,131,26,13,11,3,9,0,0,0,0,32,"sa3004602"
"Hans Crouse","Rangers (A)",20,2,0,3.1395345355705286,6,6,0,0,0,0,,28.2,115,22,11,10,4,5,0,3,3,0,31,"sa3004642"
"Seth Corry","Giants (A)",20,0,1,1.875,6,6,0,0,0,0,,24,110,14,11,5,0,18,0,3,4,1,40,"sa3004648"
"Tony Dibrell","Mets (A+)",23,3,1,2.6129032258064515,6,6,0,0,0,0,,31,122,24,9,9,2,9,0,1,2,0,28,"sa3004657"
"Nick Raquet","Nationals (A+)",23,1,5,7.573171612480397,6,6,0,0,0,0,,27.1,124,41,24,23,5,6,0,2,2,0,22,"sa3004658"
"Shawn Semple","- - -",23,2,1,2.3225806451612905,7,2,0,0,3,0,,31,115,20,8,8,1,6,0,1,0,0,38,"sa3004661"
"Jackson Tetreault","- - -",23,3,1,1.8,6,6,0,0,0,0,,30,123,22,10,6,0,11,0,2,1,0,23,"sa3004662"
"Hayden Deal","Braves (A+)",24,2,2,1.2857142857142858,6,6,0,0,0,0,,35,134,24,7,5,1,7,0,0,2,0,31,"sa3004680"
"Aaron Leasher","Padres (A+)",23,0,4,5.837837085487123,6,4,0,0,0,0,,24.2,118,31,16,16,5,14,0,1,3,0,25,"sa3004701"
"Bryce Conley","Athletics (A)",24,0,3,4.5,5,4,0,0,0,0,,22,96,16,13,11,3,14,0,1,1,0,18,"sa3004704"
"Ryan Lillie","Reds (A+)",23,0,3,4,7,7,0,0,0,0,,36,152,33,20,16,6,11,0,1,0,0,32,"sa3004740"
"Jason Bahr","Rangers (A+)",24,1,0,1.7763160123719683,5,5,0,0,0,0,,25.1,100,14,5,5,0,13,0,2,0,0,23,"sa3004744"
"Aaron Phillips","Giants (A+)",22,0,4,7.4769219799156215,6,6,0,0,0,0,,21.2,103,28,18,18,7,12,0,0,4,0,24,"sa3004747"
"Clay Chandler","Mariners (A)",25,3,1,0.75,6,6,0,0,0,0,,36,133,24,6,3,1,5,0,2,0,0,32,"sa3004749"
"Garrett Schilling","Rockies (A+)",23,2,1,4.943661307796786,5,5,0,0,0,0,,23.2,105,27,14,13,3,11,0,0,3,0,24,"sa3004770"
"Nate Harris","Rockies (A+)",24,0,2,5.4,10,1,0,0,0,1,,25,105,34,17,15,4,3,0,0,1,2,21,"sa3004772"
"Kutter Crawford","Red Sox (A+)",23,2,1,2.3823529411764706,7,7,0,0,0,0,,34,141,26,10,9,2,12,0,3,0,0,45,"sa3004798"
"Bruce Zimmermann","Orioles (AA)",24,0,1,3.075949738411932,5,5,0,0,0,0,,26.1,108,24,10,9,4,6,0,0,0,0,18,"sa3004810"
"Steven Jennings","Pirates (A)",20,2,4,5.625,7,7,0,0,0,0,,32,142,37,25,20,2,12,0,1,1,2,30,"sa3004812"
"David Parkinson","Phillies (AA)",23,2,2,4.207791686641187,5,5,0,0,0,0,,25.2,109,22,13,12,1,12,0,0,5,0,21,"sa3004857"
"Damon Jones","Phillies (A+)",24,0,2,0.9204546452061312,6,6,0,0,0,0,,29.1,112,13,5,3,0,17,0,2,2,0,43,"sa3004862"
"Spencer Howard","Phillies (A+)",22,1,1,2.25,4,4,0,0,0,0,,20,78,16,5,5,1,4,0,2,0,0,30,"sa3004923"
"Cody Bolton","Pirates (A+)",21,5,0,0.7714285714285715,6,6,0,0,0,0,,35,133,20,5,3,0,7,0,0,1,0,36,"sa3004975"
"Darren McCaughan","Mariners (AA)",23,2,2,4.2772270765811315,6,6,0,0,0,0,,33.2,139,36,17,16,8,2,0,0,0,0,30,"sa3005014"
"Ethan Lindow","Phillies (A)",20,1,1,2.541176755700589,7,4,0,0,0,1,,28.1,117,24,9,8,1,8,0,1,2,0,32,"sa3005028"
"Paul Campbell","Rays (A+)",23,3,3,5.637363228154783,6,6,0,0,0,0,,30.1,128,31,20,19,3,12,1,2,1,0,22,"sa3005052"
"Marcelo Martinez","- - -",22,1,0,2.5890414341236054,6,3,0,0,2,0,,24.1,98,20,7,7,1,7,0,0,2,0,24,"sa3005060"
"MacKenzie Gore","Padres (A+)",20,3,0,1.1489362867777688,6,6,0,0,0,0,,31.1,112,15,4,4,1,6,0,0,3,0,45,"sa3005068"
"Nate Pearson","- - -",22,3,0,0.6923076923076923,7,7,0,0,0,0,,26,92,12,2,2,2,3,0,0,1,0,43,"sa3005097"
"Blayne Enlow","Twins (A)",20,2,3,6.942858088746491,5,5,0,0,0,0,,23.1,112,29,20,18,2,9,0,2,2,4,27,"sa3005117"
"James Marinan","Reds (A)",20,1,3,5.4,6,6,0,0,0,0,,30,133,33,18,18,3,11,0,3,5,1,21,"sa3005121"
"Taylor Braley","Marlins (A+)",23,0,1,1.5,4,3,0,0,0,0,,24,93,14,8,4,1,6,0,0,0,0,17,"sa3005145"
"Frank Rubio","Giants (A+)",24,0,1,0.44262302001937803,12,0,0,0,1,0,,20.1,75,12,2,1,1,5,1,1,2,0,24,"sa3005162"
"Max Lazar","Brewers (A)",20,1,1,1.875,6,4,0,0,0,0,,24,98,18,6,5,3,8,0,1,1,0,35,"sa3005163"
"Freddy Tarnok","Braves (A+)",20,0,2,6.923076923076923,6,6,1,0,0,0,,26,119,26,20,20,2,15,0,3,1,0,20,"sa3005175"
"Luis Garcia","Astros (A)",22,2,0,2.739130434782609,5,3,0,0,0,0,,23,90,14,8,7,2,7,0,1,0,1,32,"sa3005197"
"Zach Prendergast","Cardinals (A+)",24,1,0,2.7,8,0,0,0,0,0,,20,83,15,7,6,2,4,0,2,0,0,26,"sa3005232"
"Randy Dobnak","- - -",24,3,0,1.025316579470644,5,5,0,0,0,0,,26.1,103,23,3,3,1,6,0,1,0,0,19,"sa3005287"
"Cory Abbott","Cubs (AA)",23,3,1,2.8285714285714287,6,6,0,0,0,0,,35,140,32,12,11,5,5,0,2,1,0,35,"sa3005305"
"Hunter Haworth","Red Sox (A)",22,0,3,4.655172413793103,7,2,0,0,0,2,,29,128,29,17,15,3,16,0,1,2,0,30,"sa3005318"
"Jose Olague","Braves (A)",20,2,3,4.101266317882576,6,6,0,0,0,0,,26.1,114,38,15,12,1,7,0,0,1,0,15,"sa3005352"
"Raymond Kerr","Mariners (A+)",24,0,1,4.367646446277612,6,6,0,0,0,0,,22.2,109,22,12,11,1,17,0,4,0,0,17,"sa3005362"
"Alex Scherff","Red Sox (A)",21,0,2,3.951219971728903,6,6,0,0,0,0,,27.1,120,27,13,12,1,13,0,4,4,0,26,"sa3005397"
"Nick Gallagher","Indians (A+)",23,1,0,3.9078952272183303,7,4,0,0,1,0,,25.1,111,17,15,11,1,14,0,1,5,0,34,"sa3005408"
"Trevor Rogers","Marlins (A+)",21,0,3,2.7551016118416904,6,6,0,0,0,0,,32.2,143,37,13,10,1,9,0,2,1,0,26,"sa3005423"
"Brayan Bello","Red Sox (A)",20,1,2,6.230769230769231,6,6,0,0,0,0,,26,118,32,18,18,2,11,0,1,1,0,23,"sa3005436"
"Efrain Contreras","Padres (A)",19,1,1,3.857142857142857,6,6,0,0,0,0,,28,118,27,12,12,2,8,0,2,4,1,31,"sa3005692"
