Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Ryan Feltner","Rockies (A)",22,1,3,5.082353511401178,6,6,0,0,0,0,,28.1,127,35,16,16,5,11,0,0,2,0,25,"sa3008222"
"Jake Irvin","Nationals (A)",22,1,3,7.012986144401978,6,6,0,0,0,0,,25.2,115,31,22,20,6,6,0,0,2,0,20,"sa3008223"
"Nolan Kingham","- - -",22,3,2,1.7560975609756098,7,7,1,1,0,0,,41,162,40,9,8,0,5,0,2,2,0,22,"sa3008224"
"Michael Byrne","Reds (A+)",22,1,2,7.56,6,6,0,0,0,0,,25,117,37,21,21,5,5,0,0,3,0,21,"sa3008227"
"Ryan Rolison","- - -",21,3,1,1.113401842923146,6,6,0,0,0,0,,32.1,126,25,6,4,2,5,0,0,2,0,33,"sa3008244"
"Derek Casey","Cubs (A)",23,1,1,4.846153846153846,6,6,0,0,0,0,,26,107,27,15,14,2,7,0,0,1,0,23,"sa3008259"
"Blake Rivera","Giants (A)",21,1,0,3.7384609899578107,5,5,0,0,0,0,,21.2,91,15,10,9,0,12,0,1,2,0,22,"sa3008261"
"Jackson Kowar","Royals (A+)",22,2,1,2.4545454545454546,6,6,0,0,0,0,,33,137,28,11,9,2,12,0,3,3,0,33,"sa3008273"
"J.P. France","Astros (A+)",24,0,3,5.014286397428021,6,4,0,0,0,0,,23.1,101,19,15,13,2,14,0,0,1,0,24,"sa3008310"
"Davis Martin","White Sox (A)",22,2,2,6.893617720666613,6,6,0,0,0,0,,31.1,135,39,25,24,9,5,0,1,4,1,40,"sa3008311"
"Colton Eastman","- - -",22,1,3,4.8539320641494,7,5,0,0,1,0,,29.2,129,33,17,16,2,7,0,0,1,0,35,"sa3008312"
"Kacey Murphy","Tigers (A)",22,1,1,4.808219806229553,5,5,0,0,0,0,,24.1,105,26,14,13,3,10,0,1,0,0,17,"sa3008325"
"Chris Machamer","Red Sox (A)",22,1,0,2.842105619795149,5,5,0,0,0,0,,25.1,105,28,8,8,1,7,0,0,0,0,17,"sa3008326"
"Konnor Pilkington","White Sox (A)",21,1,0,1.6200002471924206,6,6,0,0,0,0,,33.1,129,15,6,6,2,11,0,4,2,0,42,"sa3008371"
"Simeon Woods Richardson","Mets (A)",18,0,4,5.4,7,7,0,0,0,0,,20,83,20,15,12,1,4,0,1,2,1,29,"sa3008423"
"Ryan Weathers","Padres (A)",19,2,0,1.8243240892147259,5,5,0,0,0,0,,24.2,93,21,5,5,2,3,0,0,1,0,31,"sa3008436"
"Casey Mize","- - -",22,4,0,0.225,6,6,1,1,0,0,,40,131,9,2,1,0,2,0,2,0,0,36,"sa3008444"
"Reese Olson","Brewers (A)",19,1,2,4.367646446277612,6,2,0,0,0,0,,22.2,94,24,13,11,3,5,0,1,2,0,16,"sa3008513"
"Zach Haake","Royals (A)",22,1,3,1.7307692307692308,5,5,0,0,0,0,,26,99,14,7,5,1,9,0,0,1,1,36,"sa3008523"
"Blaine Knight","Orioles (A)",23,3,0,0.6749999195337392,5,5,0,0,0,0,,26.2,96,11,2,2,1,4,0,3,2,1,33,"sa3008532"
"Shane McClanahan","Rays (A)",22,2,3,3.8076923076923075,6,6,0,0,0,0,,26,112,20,12,11,1,18,0,0,5,0,37,"sa3008547"
"Justin Lewis","Diamondbacks (A)",23,1,3,3.422534751551621,6,6,0,0,0,0,,23.2,109,21,14,9,1,13,0,1,3,0,25,"sa3008577"
"John King","Rangers (A)",24,1,2,3.4177219315688134,5,5,0,0,0,0,,26.1,110,31,13,10,1,2,0,0,1,0,29,"sa3008587"
"Logan Gilbert","- - -",22,1,0,2.625,5,5,0,0,0,0,,24,93,14,7,7,2,7,0,1,1,0,37,"sa3008598"
"Aaron Hernandez","Angels (A+)",22,0,1,4.354838039823034,6,4,0,0,0,0,,20.2,100,23,10,10,1,17,0,3,2,0,21,"sa3008599"
"Kyle Bradish","Angels (A+)",22,2,1,2.2816898343677474,6,3,0,0,0,0,,23.2,95,14,8,6,1,12,0,0,6,0,23,"sa3008605"
"Cooper Criswell","Angels (A+)",22,0,3,5.323942946858077,6,4,0,0,0,0,,23.2,112,29,18,14,3,8,0,4,2,0,18,"sa3008606"
"Cole Sands","Twins (A)",21,1,0,1.7307692307692308,5,5,0,0,0,0,,26,107,18,5,5,0,9,0,3,3,0,28,"sa3008611"
"Josh Hiatt","Blue Jays (A)",22,0,1,2.5714285714285716,7,3,0,0,1,0,,28,121,28,12,8,2,10,0,2,2,0,24,"sa3008612"
"Brady Singer","Royals (A+)",22,3,2,3.0306117730258593,6,6,0,0,0,0,,32.2,135,29,17,11,1,9,0,3,0,0,31,"sa3008613"
"Justin Vernia","- - -",23,3,0,1.5697672677852643,6,5,0,0,1,0,,28.2,119,27,11,5,3,4,0,0,0,0,21,"sa3008626"
