"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Michael Papierski","Astros (A)","22","93","297","369","55","38","12","0","5","44","27","64","0","69","8","0","0","5","4","1",".185","sa829203"
"Andres Santana","- - -","19","37","119","130","22","11","10","0","1","7","9","7","0","30","3","1","0","1","1","0",".185","sa3004998"
"Austin Bernard","Rockies (A)","22","58","184","215","34","21","7","1","5","28","13","21","0","58","5","0","4","4","1","2",".185","sa3004510"
"Tre Gantt","- - -","22","56","168","193","31","23","5","2","1","21","10","20","1","49","1","2","2","1","5","2",".185","sa3004070"
"Kristian Trompiz","Astros (A+)","22","55","179","197","33","28","4","1","0","17","16","17","0","33","1","0","0","2","11","5",".184","sa737029"
"Chase Vallot","- - -","21","84","293","353","54","21","19","0","14","42","52","45","0","151","14","1","0","0","0","0",".184","sa828684"
"Ronaldy Sosa","Nationals (R)","19","35","114","124","21","15","6","0","0","11","12","8","0","24","1","1","0","1","0","0",".184","sa3002631"
"Carlos Pacheco","Cubs (R)","19","32","114","125","21","17","4","0","0","10","12","11","0","39","0","0","0","3","4","2",".184","sa3003199"
"Javier Bermudez","Astros (R)","19","54","163","192","30","23","5","1","1","21","12","20","0","39","6","3","0","3","9","8",".184","sa3005732"
"Andres Gari","Red Sox (R)","17","49","163","183","30","24","4","2","0","18","12","18","0","34","2","0","0","0","5","1",".184","sa3006079"
"Amin Valdez","Dodgers (R)","17","38","125","150","23","16","3","4","0","17","14","22","0","42","3","0","0","1","5","1",".184","sa3005477"
"Jose Navas","Red Sox (R)","17","41","125","138","23","19","3","1","0","9","4","11","1","44","2","0","0","6","2","0",".184","sa3005567"
"Nicholas Vizcaino","Braves (R)","21","37","136","151","25","17","6","0","2","13","14","13","0","40","1","1","0","2","2","0",".184","sa3004267"
"D.J. Daniels","Blue Jays (R)","20","42","136","151","25","18","5","0","2","16","9","9","0","54","5","1","0","2","4","0",".184","sa918092"
"Erick Castillo","- - -","25","44","147","159","27","21","4","0","2","11","15","8","0","22","2","0","2","3","0","0",".184","sa658211"
"Luis Ayala","Cubs (A+)","22","71","207","234","38","33","4","1","0","17","12","25","0","54","1","0","1","4","7","5",".184","sa826649"
"Justin Harrer","- - -","21","35","109","134","20","10","3","2","5","19","18","16","2","41","7","0","2","2","2","1",".183","sa3007504"
"Matt Oberste","- - -","26","63","218","235","40","30","3","1","6","24","20","12","0","54","3","2","0","6","0","1",".183","sa737845"
"Luis Almanzar","- - -","18","78","278","312","51","38","11","0","2","36","20","28","0","88","2","4","0","6","6","2",".183","sa970515"
"Jarryd Dale","- - -","17","40","120","131","22","16","6","0","0","14","6","7","0","47","4","0","0","2","3","1",".183","sa3007022"
"Osvaldo Abreu","Nationals (AA)","24","109","360","403","66","38","18","2","8","40","41","36","1","101","2","3","2","8","4","2",".183","sa657398"
"Jeyson Sanchez","Angels (A)","23","43","131","155","24","15","6","0","3","19","14","16","0","35","8","0","0","5","0","1",".183","sa828118"
"Matt Rose","White Sox (AA)","23","115","426","467","78","44","18","0","16","42","54","35","0","146","1","4","1","8","0","0",".183","sa658586"
"Heiker Meneses","- - -","26","67","197","223","36","31","4","0","1","16","10","18","0","49","4","1","3","7","2","3",".183","sa506229"
"Ryan January","Diamondbacks (A-)","21","43","137","165","25","15","6","4","0","24","6","23","1","61","5","0","0","2","4","2",".182","sa918104"
"Nick Basto","- - -","24","54","181","216","33","26","4","1","2","17","14","27","1","64","6","1","1","4","0","1",".182","sa657998"
"Adrian Rondon","- - -","19","93","335","365","61","34","23","0","4","33","37","25","0","96","2","2","0","15","1","0",".182","sa877519"
"Montrell Marshall","Reds (A)","22","65","226","262","41","20","16","2","3","30","22","30","0","89","4","2","0","3","1","0",".181","sa829051"
"Carlos Goris","- - -","17","57","193","228","35","23","6","6","0","26","21","29","0","50","5","1","0","3","5","2",".181","sa3005604"
"Chris DeVito","Royals (A+)","23","65","221","255","40","32","7","0","1","22","23","29","0","67","2","2","1","6","0","0",".181","sa918117"
"Jhon Sandoval","Tigers (R)","18","32","105","124","19","13","5","1","0","11","9","16","0","51","2","1","0","1","3","2",".181","sa3003275"
"Sandy Martinez","- - -","18","46","155","167","28","20","5","0","3","19","18","7","0","58","1","3","0","3","0","0",".181","sa3002707"
"Collin Theroux","Athletics (A+)","24","73","227","277","41","21","6","2","12","34","32","43","0","101","3","2","2","3","3","1",".181","sa876102"
